year_month,alpha_3_code,continent,location,new_cases
2020-01-01,IND,Asia,India,0
2020-01-01,USA,North America,United States,7
2020-02-01,IND,Asia,India,7
2020-02-01,USA,North America,United States,33
2020-03-01,IND,Asia,India,972
2020-03-01,USA,North America,United States,126269
2020-04-01,IND,Asia,India,25517
2020-04-01,USA,North America,United States,796638
2020-05-01,IND,Asia,India,155647
2020-05-01,USA,North America,United States,862475
2020-06-01,IND,Asia,India,346716
2020-06-01,USA,North America,United States,739955
2020-07-01,IND,Asia,India,856663
2020-07-01,USA,North America,United States,1668539
2020-08-01,IND,Asia,India,2157211
2020-08-01,USA,North America,United States,1780555
2020-09-01,IND,Asia,India,2449799
2020-09-01,USA,North America,United States,1126625
2020-10-01,IND,Asia,India,1872279
2020-10-01,USA,North America,United States,1469669
2020-11-01,IND,Asia,India,1528108
2020-11-01,USA,North America,United States,4692217
2020-12-01,IND,Asia,India,794931
2020-12-01,USA,North America,United States,5627464
2021-01-01,IND,Asia,India,558333
2021-01-01,USA,North America,United States,6972587
2021-02-01,IND,Asia,India,350548
2021-02-01,USA,North America,United States,2467058
2021-03-01,IND,Asia,India,874893
2021-03-01,USA,North America,United States,1602108
2021-04-01,IND,Asia,India,4988548
2021-04-01,USA,North America,United States,1779222
2021-05-01,IND,Asia,India,10934628
2021-05-01,USA,North America,United States,1193501
2021-06-01,IND,Asia,India,2338383
2021-06-01,USA,North America,United States,366941
2021-07-01,IND,Asia,India,1138718
2021-07-01,USA,North America,United States,965153
2021-08-01,IND,Asia,India,1323129
2021-08-01,USA,North America,United States,4291462
2021-09-01,IND,Asia,India,957715
2021-09-01,USA,North America,United States,4056569
2021-10-01,IND,Asia,India,620555
2021-10-01,USA,North America,United States,3054638
2021-11-01,IND,Asia,India,299223
2021-11-01,USA,North America,United States,2336661
2021-12-01,IND,Asia,India,214279
2021-12-01,USA,North America,United States,3902514
2022-01-01,IND,Asia,India,6305720
2022-01-01,USA,North America,United States,21878018
2022-02-01,IND,Asia,India,1823595
2022-02-01,USA,North America,United States,4577250
2022-03-01,IND,Asia,India,103336
2022-03-01,USA,North America,United States,969050
